,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
111,0.253,0.825,-6.903,0.0573,0.00948,0.0,0.114,0.115,172.682,4L7ZKNnrAvSZDfTGsGsDMa,218200
112,0.556,0.774,-4.635,0.0309,0.00169,0.0,0.192,0.635,139.903,6k7HtqyhIYJMg6DgUwZc6M,200829
113,0.486,0.901,-6.943,0.0391,4.77e-05,0.0,0.0828,0.348,96.03,4kulylefFdMugHJokWU9lc,218293
114,0.425,0.852,-6.148,0.12,0.00228,0.0,0.0963,0.43,184.936,4K09SdQoXx5e3NDQKqNQai,181027
115,0.488,0.967,-2.701,0.0755,0.0147,0.0,0.109,0.341,130.926,3ZuDgFVRKfSg2wkrhGIjkE,216547
116,0.343,0.945,-3.127,0.0563,0.000827,0.0,0.0896,0.474,179.888,4d8I66AFI5HofrVbKcLPmz,231973
117,0.465,0.896,-3.126,0.0795,0.00725,0.0,0.206,0.569,181.014,3ZsexY07D4t4HRq7ogeSAS,182827
118,0.449,0.602,-4.8,0.0264,0.149,0.0,0.141,0.32,170.04,5wfy4RalC2K42QXlltpxJE,256733
119,0.319,0.936,-2.522,0.0489,0.00178,0.0,0.0852,0.587,182.993,7bPzTky1XMTA3EHHKxuwxg,221733
120,0.457,0.899,-3.799,0.0636,0.00268,0.0,0.215,0.528,175.058,6VvdDfN8b7dJd0s6o2BtWG,169680
121,0.462,0.832,-3.533,0.0431,0.000967,1.39e-06,0.22,0.581,114.999,1keSkRaOL77YjXkM4rJ6xX,158000
122,0.582,0.88,-3.219,0.0601,0.0165,0.0,0.389,0.521,123.01,2vMHconU0MPAnjh7FFQV2u,199987
123,0.423,0.945,-2.572,0.119,0.00271,0.0,0.307,0.561,164.977,4Ri0xUQVY9lkaR3gxotwJQ,212560
124,0.497,0.923,-4.512,0.137,0.00282,0.0,0.158,0.667,181.075,4cqYUqmKMcb3q1tdImVpGW,198000
125,0.554,0.902,-4.018,0.0569,0.00635,0.0,0.328,0.657,126.022,7LcNhnWCI9w9ivknoSqtvK,187000
126,0.471,0.963,-3.795,0.0572,0.00315,0.0,0.244,0.581,150.033,3y3p0SdofrcavUCKhA5poS,227467
127,0.453,0.945,-3.555,0.0458,0.025,0.0,0.279,0.565,162.968,0iSiv78I19i3JTeIpsdpPn,204307
128,0.483,0.776,-4.416,0.0334,0.00244,0.0,0.318,0.38,96.956,1mLTikPTdJz0yfarfrXkSi,216013
129,0.495,0.893,-3.203,0.0705,0.0725,0.0,0.0644,0.73,148.015,3QSTCT6N8cLMboxIInwjEt,209813
130,0.489,0.967,-3.168,0.151,0.00795,0.0,0.0616,0.397,153.037,2XlKQu0mPXldTrZVL5Mz3P,191173
131,0.581,0.813,-4.868,0.043,0.0461,0.0,0.0967,0.364,120.01,1lAErqCg84I1N4eVgUyDHU,254933
132,0.588,0.555,-9.401,0.0334,0.447,0.0,0.0806,0.445,151.991,2BepFzUWfczDk68DXj10w3,279573
133,0.312,0.713,-4.489,0.0327,0.0258,0.0,0.135,0.196,169.871,0jh2HyqarexLFrEyN1dpKp,224200
134,0.575,0.95,-6.309,0.0649,0.00842,9.47e-05,0.765,0.315,96.046,23hln7JvLtFTXa0kZLAVRY,178842
135,0.757,0.602,-7.482,0.237,0.267,0.00524,0.0718,0.451,171.919,6qOoAJrmUXqZaxRRprULvl,213486
136,0.634,0.849,-4.81,0.0298,0.0253,4.02e-05,0.205,0.913,92.992,44UvyBHO9uhNUfH5Ytloy6,182794
137,0.512,0.963,-2.726,0.0583,0.000917,0.0,0.308,0.72,135.027,1cvaj9kpWLVpGpFXZiQQuK,216600
138,0.597,0.733,-5.238,0.0348,0.000775,0.0,0.0612,0.639,144.028,630brCzcLTQ3WEspOnZvec,242471
139,0.45,0.66,-8.929,0.383,0.336,0.0,0.122,0.124,180.516,0pSIJCxYqZNIZBTAnIXOkv,303813
140,0.829,0.982,-2.355,0.108,0.199,0.0,0.383,0.905,129.897,0Odk0MFEwVOTj8sDOPO2Fo,204360
141,0.782,0.898,-4.156,0.0563,0.0051,0.00336,0.0633,0.93,119.944,2EnwjJGoGX3K7RzDHyiyfA,177840
142,0.869,0.887,-4.505,0.0993,0.0605,0.0,0.148,0.784,129.221,1H5tvpoApNDxvxDexoaAUo,198400
143,0.35,0.859,-3.547,0.0434,0.107,0.000628,0.162,0.512,173.114,4jeuFoot0OZfJ9GZYLMC7c,249347
144,0.586,0.514,-5.772,0.0283,0.0553,5.04e-05,0.202,0.334,160.094,7HgpYzYrBLbBLyInU2FaPY,329600
145,0.615,0.799,-3.673,0.0458,0.00379,0.000653,0.254,0.963,103.922,2BHpfgnikV4gvozw0yCGkQ,187600
146,0.446,0.915,-6.221,0.141,0.00281,3.87e-05,0.218,0.398,190.013,1BwhFXqoIsePt21WyWIttb,204520
147,0.657,0.776,-6.382,0.0338,0.00162,4.5e-06,0.0824,0.601,109.997,4zpMmlQXeQ5PJXZSI02W99,227213
148,0.384,0.981,-4.209,0.0872,2.54e-05,1.9e-05,0.106,0.307,109.052,1iZTuY3wspO4DxFXBD58WX,166267
149,0.394,0.944,-7.3,0.0676,0.0181,0.000416,0.152,0.529,157.368,4t3T3ajBJUar03GHAz9B55,148507
150,0.439,0.903,-4.982,0.0455,0.0109,0.0,0.422,0.736,148.592,6NROFhagQpxYhEzwkXk9JC,171067
151,0.528,0.725,-5.677,0.0299,0.0413,0.0,0.289,0.645,136.049,295SzKljnW1JZGz7AXqyJf,246133
152,0.411,0.957,-4.508,0.0931,0.00034,0.0,0.0743,0.846,193.106,5F48HH6pGR5FKoaLQGla2d,171067
